"title","author","author_url","rating","voters_count","url"
"Dina's Book","Herbjørg Wassmo","https://www.goodreads.com/author/show/683590.Herbj_rg_Wassmo","4.04","2709","https://goodreads.com/book/show/1691271.Dina_s_Book"
"My Sister's Keeper","Jodi Picoult","https://www.goodreads.com/author/show/7128.Jodi_Picoult","4.07","1015","https://goodreads.com/book/show/10917.My_Sister_s_Keeper"
"Far From the Madding Crowd","Thomas Hardy","https://www.goodreads.com/author/show/15905.Thomas_Hardy","3.94","119895","https://goodreads.com/book/show/31463.Far_From_the_Madding_Crowd"
"One for the Money (Stephanie Plum, #1)","Janet Evanovich","https://www.goodreads.com/author/show/2384.Janet_Evanovich","4.04","466128","https://goodreads.com/book/show/6853.One_for_the_Money"
"Claire of the Moon: One Woman's Journey into Her Sexual Identity","Nicole Conn","https://www.goodreads.com/author/show/616144.Nicole_Conn","3.44","96","https://goodreads.com/book/show/2509037.Claire_of_the_Moon"
"Hagakure: The Book of the Samurai","Yamamoto Tsunetomo","https://www.goodreads.com/author/show/14204578.Yamamoto_Tsunetomo","4.07","12146","https://goodreads.com/book/show/826741.Hagakure"
"Elegy for Iris","John Bayley","https://www.goodreads.com/author/show/21660.John_Bayley","3.71","982","https://goodreads.com/book/show/549379.Elegy_for_Iris"
"High Fidelity","Nick Hornby","https://www.goodreads.com/author/show/2929.Nick_Hornby","3.94","166926","https://goodreads.com/book/show/285092.High_Fidelity"
"Adam at Six A.M.","stephen karpf","https://www.goodreads.com/author/show/8191407.stephen_karpf","3.5","2","https://goodreads.com/book/show/22051518-adam-at-six-a-m"
"Fluke","James Herbert","https://www.goodreads.com/author/show/80984.James_Herbert","3.87","4568","https://goodreads.com/book/show/459822.Fluke"
"Water for Elephants","Sara Gruen","https://www.goodreads.com/author/show/24556.Sara_Gruen","4.09","1311","https://goodreads.com/book/show/43641.Water_for_Elephants"
"The Story of the Trapp Family Singers","Maria Augusta von Trapp","https://www.goodreads.com/author/show/2622328.Maria_Augusta_von_Trapp","3.96","11565","https://goodreads.com/book/show/554674.The_Story_of_the_Trapp_Family_Singers"
